編號,年度,工場名稱,營業項目,聯絡人,地址,電話
1,112,ENJOY臺北餐廳,餐飲業,許小姐,臺北市信義區市府路1號1樓,2720-5208
2,112,"勝利基金會辦理樸樹咖啡捷運古亭店
(捷運古亭庇護工場)",餐飲業,謝佳男,臺北市中正區羅斯福路2段164-1號,2368-9093
3,112,"EasyCoffee
(捷運善導寺庇護工場)",餐飲業,王鵬驊,臺北市中正區忠孝東路1段58號B1,2395-6102
4,112,"快樂小舖
(捷運南勢角庇護工場)",零售業,王錫陽,新北市中和區捷運路6號B3F,2943-3994
5,112,"樂芽一號庇護工場
(富陽1店庇護工場)",食品製迼業、批發及零售業,李林璘,臺北市信義區和平東路3段341巷3號1樓,8732-8101
6,112,"有度立體書店
(富陽2店庇護工場)",印刷品裝訂、圖書出版業、零售業,黃大明,臺北市信義區和平東路3段341巷7號1樓,8732-4909
7,112,"育成洗車中心
(建忠庇護工場)",汽車美容、清潔用品零售業、未分類其他食品、飲料及箊草製品零售,"鄭育明
尤玉慧",臺北市大安區建國南路、濟南路口高架橋下,"2711-5842
2740-7418"
8,112,"光仁二手商品館大直店
(捷運大直庇護工場)",零售業,謝佩樺,臺北市中山區北安路534-1號,8509-8601
9,112,"育成蕃薯藤
(忠孝庇護工場)",餐飲業、西點麵包零售、清潔用品零售業、未分類其他食品、飲料及箊草製品零售,黃正珀,臺北市大安區建國南路一段181號,2752-1785
10,112,"地熱谷小舖
(地熱谷庇護工場)",零售業,趙哲晨,臺北市北投區中山路30-10號2樓,2895-0556
11,112,"愛不囉嗦庇護工場南港店
(捷運南港展覽館庇護工場)",食品製造業、零售業?,王文芳,臺北市南港區研究院路1段1號B2(捷運南港展覽館站6號出口內),2653-8321
12,112,樂芽永續股份有限公司青年1庇護工場,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷6號,7752-2518
13,112,樂芽永續股份有限公司青年2庇護工場,食品製造業、批發及零售業,倪佩玲,臺北市萬華區青年路152巷14號,7752-2518
14,112,"光仁選品萬大店
(萬大庇護工場)",零售業,林立婷,臺北市萬華區萬大路423巷38號,2305-0025
15,112,"第一輔具庇護工場
(國光國宅庇護工場)",輔具清潔、販售,徐佩珊,臺北市萬華區國興路22、24號1樓,2303-3366
16,112,財團法人心路社會福利基金會附設心路洗衣坊?,洗衣業、零售業?,"信義：楊小姐
大安：李小姐
大直：吳小姐","信義：
臺北市信義區嘉興街303之5號1樓
大安：
臺北市大安區瑞安街65-3號
大直：
臺北市中山區北安路458巷41弄39號","信義：
8732-6590
大安：
2708-6047
大直：
8509-2850"
17,112,神腦國際手機維修庇護工場,個人及家庭用品維修業、零售業,郭家銘,臺北市松山區民權東路3段102號1樓,2718-6060
18,112,臺北榮民總醫院附設庇護工場,餐飲業、清潔服務業、零售業,江明潔,臺北市北投區石牌路2段201號,"2875-7027
轉570"
19,112,財團法人伊甸社會福利基金會附設阿萬師清潔工作隊,清潔服務業,蔡依靜,臺北市文山區萬美街一段55號3樓之7,"2230-6670
轉3405"
20,112,臺北醫學大學附設醫院樂活屋庇護商店,零售業,邱晨瑜,"臺北市信義區吳興街252號
第一大樓6樓、B1","2737-2181
轉3665"
21,112,財團法人天主教光仁社會福利基金會光仁二手商品館忠孝店,零售業,鍾任鴻,臺北市大安區忠孝東路3段217巷2弄14號,2721-8924
22,112,財團法人伊甸社會福利基金會附設數位資料處理庇護工場,業務及辦公室支援服務業,涂麗茹,臺北市文山區萬美街1段55號3樓之10,2230-8002
23,112,財團法人心路社會福利基金會附設心路機動工作隊,清潔服務、業務及辦公室支援服務業,張宜勳,臺北市文山區萬美街1段59號,2230-6503
24,112,馬偕紀念醫院附設喜樂工作坊,餐飲業、零售業,王昔珍,臺北市中山區中山北路2段92號福音樓3樓,"2543-3535
轉3692"
25,112,糕菲庇護工場,食品製造業、其他餐飲業,王淑真,臺北市內湖區行愛路140巷25號,2785-2499
26,112,台北市康復之友協會附設勞務服務中心,清潔服務業,洪國維,臺北市松山區八德路4段604號2樓之6,"2765-2810
轉262"
27,112,曦望數位設計印刷庇護工場,產品設計業、排版業、資料處理服務業、影印業、文具零售業、日常用品零售業、理貨包裝業,夏逸梅,臺北市萬華區西園路2段261巷12弄44號1樓及279-9號1樓,"2309-3138
轉17"
28,112,台北市自閉症家長協會附設小貝殼工作坊,其他全新商品零售業,廖秀麗,臺北市大同區酒泉街195號,2595-3954
29,112,臺北市立聯合醫院附設庇護工場,餐飲業、零售業,傅筠惠,臺北市大安區仁愛路4段10號醫療大樓2樓、南棟6樓,"2709-3600
轉5113、3245"
30,112,三軍總醫院北投分院附設庇護工場,清潔服務業、零售業,邱泰楨,臺北市北投區新民路60號,"2895-9808
轉603128"
31,112,傳玻者文創設計中心,其他專門設計業,余玉蓮,臺北市大同區民族西路162巷2、4號1樓,2881-2895
32,112,勝利資訊數位辨識處理中心,業務及辦公室支援服務業,高季蓉,臺北市信義區基隆路2段149之17號9樓,2733-8174
33,112,財團法人喜憨兒社會福利基金會喜憨兒烘焙屋,食品製造業,"邱小姐
劉小姐
吳小姐","光復店：臺北市信義區光復南路461號
中華店：臺北市信義路1段21-3號B1
勞保店：臺北市羅斯福路1段4號","光復2725-2759
中華2344-4265
勞保2391-9389"
34,112,財團法人台北市自閉兒社會福利基金會附設愛肯樂活工場,飲食成品、零售業,卓佳怡,臺北市大同區甘谷街16號2樓,2599-3803
35,112,勝利數位設計印刷中心,印刷及其輔助業、文具批發業,周德文,臺北市大安區和平東路2段53巷2號9樓,2754-0526
36,112,新品文具庇護工場,文具製造業、文具批發業,彭中興,臺北市士林區承德路4段180號3樓,2889-1155
37,112,勝利便利商店松醫店,零售業,張佩鈴,臺北市松山區健康路158號,7723-0420
38,112,愛不囉嗦庇護工場,食品製造業、零售業,郭麗玉,臺北市大同區承德路3段212之5號1樓,2586-9321
39,112,伊果文創印刷庇護工場,印刷及其輔助業、其他專門設計業,林子馨,臺北市文山區保儀路9號4樓,2939-2169
40,112,第一物業管理庇護工場,清潔服務、複合支援服務業,"黃荷麗
",臺北市文山區萬隆街54號1樓,"2722-4136
轉879"
41,112,勝利便利商店敦中店,零售業,李其叡,臺北市松山區敦化北路4巷1號,7713-7209
42,112,財團法人台北市勝利社會福利事業基金會SUBWAY仁愛延吉店,餐飲業,王書毅,臺北市大安區延吉街228巷3號1樓,2702-3652
43,112,樸樹咖啡,餐飲業,孫文琪,臺北市萬華區廣州街95-1、95-2、95-3號,2306-6308
44,112,"勝利加油站
(大安加油站)",加油站業,李志平,臺北市大安區建國南路2段75-1號,2755-5499
45,112,"陽光加油站
(市民加油站)",加油站業,王顧婷,臺北市大安區建國南路1段57-1號,2752-9929
46,112,"陽光汽車美容中心
(建和社會企業)",汽車美容業,蔡淞梧,臺北市大安區建國南路2段280號,2365-7791
47,112,建北加油站,加油站業,王顧婷,臺北市中山區建國北路3段91之1號,2515-0228
48,112,"勝利廚房
(臺北社企館1、2F)",餐飲業,張湘蓉,臺北市中山區八德路2段174巷28號1、2樓,2776-6603
49,112,"TaipeiSESquare交流空間
(臺北社企館3F)",多功能會議廳、空間場地出借,魏淑宜,臺北市中山區八德路2段174巷28號3樓,8772-6020
50,112,黑暗對話社會企業股份有限公司(臺北社企館4F),教育課程,李芳琦,臺北市中山區八德路2段174巷28號4樓,8772-3100
51,112,"視障者音樂發展中心
(臺北社企館5F)",藝文服務、文教服務、樂器/育樂用品出租銷售,謝佩君,臺北市中山區八德路2段174巷28號5樓,"7730-7388
轉102"
52,112,"陽光活力中心八德館
(臺北社企館6、7F)",運動、輕食飲料、運動相關百貨零售,李政寧,臺北市中山區八德路2段174巷28號6、7樓,2772-8816
