序號,名稱,地址,電話,無障礙友善說明,Longitude,Latitude
1,石尚自然探索屋-動物園店,臺北市立動物園大門廣場 (動物園出口前) 臺北市新光路二段30號,02-2936-4035,輪椅進出及通行無障礙,121.5818769,24.99900243
3,石尚自然探索屋-雨林店,臺北市立動物園亞洲熱帶雨林區出口 臺北市新光路二段30號,02-2939-9833,輪椅進出及通行無障礙 ,121.5830741,24.99636279
6,石尚自然探索屋 -HIPPO SHOP,臺北市立動物園大門廣場 (動物園出口前) 臺北市新光路二段30號,02-8661-0070,輪椅進出及通行無障礙 ,121.5818769,24.99900243
7,AN58西班牙創意料理 承德店,臺北市士林區承德路四段29號,02-2885-1029,輪椅進出及通行無障礙 ,121.522472,25.0804589
8,on the road 義式手工冰淇淋專賣店,臺北市士林區忠誠路二段136號,02-2875-2717,輪椅進出及通行無障礙,121.5321839,25.11424303
9,巫記青蛙下蛋-士林店,臺北市士林區文林路114巷1號 (陽明戲院對面日新眼鏡巷內),02-2880-3788,輪椅進出及通行無障礙 ,121.5260706,25.0882968
10,陽明春天陽明山總店 『心五藝文創園區』,臺北市士林區菁山路119-1號,02-2862-0178,輪椅進出及通行無障礙,121.5593192,25.1441722
11,樂活式單車館,臺北市士林區承德路四段69號,02-2885-2172,輪椅進出及通行無障礙 ,121.5232873,25.08182153
12,小春樓滷味,臺北市大同區南京西路161號,02-2559-3648,輪椅進出及通行無障礙,121.5133498,25.0541112
13,老桂坊,臺北市大同區迪化街一段46巷12號,02-2555-9355,輪椅進出及通行無障礙 ,121.509665,25.054929
14,紀物書館DOCUMENTARY,臺北市大同區南京西路155巷17號1樓,02-2555-8785,輪椅進出及通行無障礙 ,121.5136066,25.05461508
15,夏樹甜品,臺北市大同區迪化街一段240號,02-2553-6580,輪椅進出及通行無障礙,121.5092838,25.05996796
16,黃長生藥行,臺北市大同區迪化街一段134號,02-2553-2156,輪椅進出及通行無障礙 ,121.5097178,25.05729137
17,塔可商行,臺北市大同區迪化街一段14巷22號,0910-196-446,輪椅進出及通行無障礙,121.509582,25.0541439
18,新驛旅店台北車站二館,臺北市大同區長安西路81-83號,02-2555-5577,輪椅進出及通行無障礙 ,121.5166121,25.0511524
19,歐點歐式餐酒館,臺北市中山區玉門街一號(MAJI square 集食行樂),02-2585-1550,輪椅進出及通行無障礙 ,121.5223573,25.0697557
20,神農市場,臺北市中山區玉門街一號(MAJI square 集食行樂),02-2597-7126,輪椅進出及通行無障礙 ,121.520461,25.0704569
21,喜瑞飯店,臺北市中山區長安東路一段64號,02-2541-0077,輪椅進出及通行無障礙 ,121.529374,25.047901
22,新驛旅店復興北路店,臺北市中山區復興北路338號,02-2515-8777,輪椅進出及通行無障礙 ,121.5439933,25.05953045
23,Easy coffee,臺北市中正區忠孝東路一段58號B1,02-2395-6102,輪椅進出及通行無障礙 ,121.5231079,25.0445758
24,三創 GBT,臺北市中正區市民大道三段2號6樓,02 3322 1391,輪椅進出及通行無障礙,121.5311294,25.0454897
25,天龍圖書-簡體字專賣店,臺北市中正區重慶南路一段57號2樓,02-2381-2033,輪椅進出及通行無障礙 ,121.5133879,25.0446169
26,李氏手工坊,臺北市中正區市民大道一段100號(臺北地下街84B店鋪),02-2555-8348,輪椅進出及通行無障礙 ,121.514477,25.049008
27,良品牛肉麵,臺北市中正區開封街一段10號,02-2371-2644,輪椅進出及通行無障礙,121.5138986,25.045886
28,旅樂序精品旅館 - 站前五館,臺北市中正區重慶南路一段20號,02-2375-6777,輪椅進出及通行無障礙 ,121.5131232,25.0461971
29,第一眼鏡,臺北市中正區重慶南路一段68號1樓,02-2382-2222,輪椅進出及通行無障礙,121.5131186,25.04364389
30,喬翊電器有限公司,臺北中正區博愛路22號1F,02-2381-2626,輪椅進出及通行無障礙 ,121.5111847,25.0463629
31,華山文旅,臺北市中正區金山北路1號,02-2396-3388,輪椅進出及通行無障礙,121.5304393,25.0442097
32,遠東百貨寶慶店,臺北市中正區寶慶路32號,02-2381-6088,輪椅進出及通行無障礙 ,121.5089709,25.0414776
33,阿義師的大茶壺茶餐廳,臺北市文山區指南路三段38巷37-1號1樓,02-2939-5615,輪椅進出及通行無障礙,121.591771,24.968691
34,紅木屋休閒茶館,臺北市文山區指南路三段38巷33號,02-2939-9706,輪椅進出及通行無障礙 ,121.590704,24.9671039
35,日勝生加賀屋國際溫泉飯店股份有限公司,臺北市北投區光明路236號,02-2891-1111,輪椅進出及通行無障礙,121.5068018,25.1360318
36,北投老爺酒店,臺北市北投區中和街2號,02-2896-9777,輪椅進出及通行無障礙,121.4971923,25.1444869
37,北投熱海溫泉大飯店,臺北市北投區光明路258號,02-2891-5161,輪椅進出及通行無障礙 ,121.5092275,25.1365758
38,北投麗禧溫泉酒店,臺北市北投區幽雅路30號,02-2898-8888,輪椅進出及通行無障礙,121.5150358,25.1378365
39,溫泉小舖,臺北市北投區大同街202-4號,02-2898-2698,輪椅進出及通行無障礙 ,121.4992715,25.137926
40,小公館人文旅舍,臺北市松山區南京東路五段399號5樓,02-2769-0200,輪椅進出及通行無障礙 ,121.5696568,25.05151345
41,裕珍馨(饒河店),臺北市松山區饒河街189號,02-2742-0869,輪椅進出及通行無障礙 ,121.5759674,25.05059683
42,三寶神明用品,臺北市萬華區內江街168號1樓,02-2388-8859,輪椅進出及通行無障礙 ,121.500747,25.041736
43,西園29服飾創作基地,臺北市萬華區西園路二段9號,02-2336-7599,輪椅進出及通行無障礙 ,121.4981766,25.03243468
44,阿猜嬤甜湯,臺北市萬華區華西街3號,02-2361-8697,輪椅進出及通行無障礙,121.4986876,25.0398604
45,臺北市立天文科學教育館,臺北市士林區基河路363號,02-28314551#551,輪椅進出及通行無障礙 ,121.5183001,25.09582981
46,石尚自然探索屋-恐龍餐廳,臺北市中正區襄陽路25號2樓,02-2382-5665,輪椅進出及通行無障礙 ,121.5141637,25.0435651
47,石尚自然探索屋-臺博本館店,臺北市中正區襄陽路2號,02-2311-2558,輪椅進出及通行無障礙,121.51503,25.042902
48,阮的肉干-台北車站專櫃,臺北市中正區北平西路3號1樓,02-2361-0027,輪椅進出及通行無障礙 ,121.5173735,25.047702
49,新東陽站前三越店,臺北市中正區忠孝西路一段66號B2,02-2382-4959,輪椅進出及通行無障礙,121.515325,25.0461278
50,新驛旅店台北車站一館,臺北市中正區懷寧街7號,02-2314-8008,輪椅進出及通行無障礙 ,121.5142878,25.04627039
51,21工房,臺北市大同區酒泉街10巷25號,02-2585-1913,輪椅進出及通行無障礙,121.5196623,25.0698689
52,ＭＪ鐵道模型,臺北市大同區酒泉街31號1樓,02-2585-9491,輪椅進出及通行無障礙 ,121.5191627,25.0707339
53,六安堂參藥行,臺北市大同區迪化街一段75號,02-2559-8599,輪椅進出及通行無障礙,121.5100172,25.0561161
54,大橋町目米食館,臺北市大同區延平北路三段124號,02-2585-3129,輪椅進出及通行無障礙 ,121.5108146,25.06751041
55,台北互舍酒店,臺北市大同區重慶北路二段172號,02-25533919,輪椅進出及通行無障礙,121.5134573,25.05937462
56,竹木造咖,臺北市大同區迪化街一段161號,02-2553-0482,輪椅進出及通行無障礙 ,121.509681,25.058494
57,新驛旅店台北車站三館,臺北市大同區長安西路77號,02-7732-7777,輪椅進出及通行無障礙,121.5167032,25.051078
58,聯通漢芳,臺北市大同區迪化街一段92號,02-2556-7868,輪椅進出及通行無障礙 ,121.5098302,25.0560921
59,天森木材行,臺北市萬華區東園街67巷3號,02-2307-2151,輪椅進出及通行無障礙,121.4968969,25.0264879
60,台北堂餅行 - 摩那卡餅本舖,臺北市萬華區艋舺大道52號,02-2336-2024,輪椅進出及通行無障礙 ,121.5039839,25.0332872
61,老明玉香舖,臺北市萬華區貴陽街二段155號,02-2381-5569,輪椅進出及通行無障礙,121.5008314,25.0402959
62,西門町芒?冰,臺北市萬華區漢中街17號,02-2388-8511,輪椅進出及通行無障礙 ,121.5078644,25.04533404
63,兩喜號-西園店,臺北市萬華區西園路一段194號,02-2336-1129,輪椅進出及通行無障礙,121.499215,25.03614
64,冠婷批發服飾,臺北市萬華區康定路239、241號1樓,02-2308-0703,輪椅進出及通行無障礙 ,121.501364,25.0350547
65,福大同茶莊,臺北市萬華區貴陽街二段196號1樓,02-2375-6527,輪椅進出及通行無障礙 ,121.5002362,25.0400759
66,雙藍童裝babyshop,臺北市萬華區康定路346號,02-2306-3526,輪椅進出及通行無障礙 ,121.501057,25.0349466
67,巨輪家具公司,臺北市大安區文昌街309號,02-2707-3822,輪椅進出及通行無障礙,121.5570441,25.03224692
68,火鍋世家 (台北德惠店),臺北市中山區德惠街22號,02-2595-6666,輪椅進出及通行無障礙,121.5253595,25.066614
69,彩匯自助餐廳,臺北市中山區樂群二路55號1樓,02-7722-3395,輪椅進出及通行無障礙 ,121.5538967,25.0804887
70,新東陽三越南京專櫃,臺北市中山區南京西路12號B2,02-2541-7919,輪椅進出及通行無障礙,121.5211048,25.0523038
71,有機緣地-八德店,臺北市松山區八德路三段150號,02-2577-9727,輪椅進出及通行無障礙 ,121.5547303,25.04796623
72,有機緣地-民權店,臺北市松山區民權東路三段130號1樓,02-2719-8449,輪椅進出及通行無障礙,121.5461557,25.06171868
73,新東陽台北機場店,臺北市松山區敦化北路340-9號,02-2545-6846,輪椅進出及通行無障礙 ,121.5517054,25.06369446
74,有機緣地-東湖店,臺北市內湖區東湖路112號,02-2631-8168,輪椅進出及通行無障礙,121.6157764,25.0681961
75,宜家商旅,臺北市內湖區成功路二段512號,02-2795-6777,輪椅進出及通行無障礙 ,121.589654,25.074194
76,哈拉影城,臺北市內湖區康寧路三段72號,02-2632-2693,輪椅進出及通行無障礙,121.611461,25.069912
77,美麗華百樂園,臺北市中山區敬業三路20號,02-2175-3456,輪椅進出及通行無障礙 ,121.5571648,25.0833072
78,藤香厚工豆花,臺北市信義區吳興街113號,02-2345-3222,輪椅進出及通行無障礙 ,121.5612247,25.03014395
79,石尚自然探索屋-天文館店,臺北市士林區基河路363號,02-2832-0563,輪椅進出及通行無障礙,121.5182994,25.0958292
80,新東陽大葉高島屋專櫃,臺北市士林區忠誠路二段55號B1樓,02-2831-7520,輪椅進出及通行無障礙,121.5315215,25.1118264
81,新東陽崇光天母專櫃,臺北市士林區中山北路六段77號B1,02-2835-0907,輪椅進出及通行無障礙 ,121.5245359,25.1047446
82,石尚自然探索屋-小油坑店,臺北市北投區竹子湖69號B1,02-2861-1899,輪椅進出及通行無障礙,121.5468426,25.1764289
83,石尚自然探索屋-冷水坑店,臺北市士林區菁山路101巷170號Ｂ1,02-2861-1968,輪椅進出及通行無障礙 ,121.5639099,25.1656132
84,石尚自然探索屋-陽明山店,臺北市北投區竹子湖1之20號B1,02-2861-8896,輪椅進出及通行無障礙,121.5468623,25.1552864
85,大葉高島屋百貨股份有限公司,臺北市士林區忠誠路二段55號,02-2831-2345,輪椅進出及通行無障礙,121.5315215,25.1118264
86,李日勝,臺北市大同區迪化街一段203號,02-2557-8990 #102,輪椅進出及通行無障礙 ,121.509546,25.059445
87,烤司院炭烤吐司專賣,臺北市中山區天津街16號,02-2563-8360,輪椅進出及通行無障礙,121.522421,25.0484271
88,三創SONY旗艦店,臺北市中正區市民大道三段2號2樓R201室,02-2341-3068,輪椅進出及通行無障礙 ,121.5311294,25.0454897
89,馬修單車Mathew Bike,臺北市士林區文林路577號,02-2832-2238,輪椅進出及通行無障礙,121.5236218,25.0981213
90,小春園滷味,臺北市大同區南京西路149號,02-2555-5779,輪椅進出及通行無障礙 ,121.5136414,25.054126
91,台北美福大飯店,臺北市中山區樂群二路55號,02-7722-3399,輪椅進出及通行無障礙,121.5538967,25.0804887
92,薇閣精品旅館大直旗艦館,臺北市中山區敬業三路11號,02-8502-7000,輪椅進出及通行無障礙 ,121.5556427,25.0835286
93,晶華軒,臺北市中山區中山北路二段39巷3號3樓,02-2521-5000 分機 3236,輪椅進出及通行無障礙,121.524244,25.0541778
94,皇家玫瑰旅館-雙城館,臺北市中山區雙城街28巷8號,02-2595-8077,輪椅進出及通行無障礙,121.5236326,25.065686
95,北投南豐天玥泉會館,臺北市北投區中山路3號,02-2898-8661,輪椅進出及通行無障礙 ,121.5054469,25.13716473
96,Robin's牛排屋及鐵板燒,臺北市中山區中山北路二段39巷3號2樓,02-2523-1321牛排館、02-2581-5198 鐵板燒,輪椅進出及通行無障礙,121.524244,25.0541778
97,成功攝影,臺北市中正區臨沂街3巷31號,02-2351-8918,輪椅進出及通行無障礙 ,121.5321666,25.0432687
98,富自山中,臺北市大同區迪化街一段220號,02-2557-8605,輪椅進出及通行無障礙 ,121.5093968,25.05943855
99,金色三麥京站店,臺北市大同區承德路一段1號4樓,(02)7737-0909,輪椅進出及通行無障礙,121.5170309,25.04917284
100,誠天下葯食鋪,臺北市大同區迪化街一段212號,02-2553-8408,輪椅進出及通行無障礙 ,121.5093937,25.05925153
101,和逸飯店 台北民生館,臺北市中山區民生東路二段178號,(02)7706-3399,輪椅進出及通行無障礙 ,121.5362505,25.05765947
102,維多麗亞酒店,臺北市中山區敬業四路168號,(02)8502-0000,輪椅進出及通行無障礙,121.5589216,25.08426587
103,雙囍中餐廳,臺北市中山區敬業四路168號2樓,(02)6602-5672,輪椅進出及通行無障礙 ,121.558933,25.08438339
104,N?168 PRIME牛排館(大直本館),臺北市中山區敬業四路168號4樓,(02)6602-5678,輪椅進出及通行無障礙,121.5589303,25.0844429
105,la FESTA 義大利餐廳,臺北市中山區敬業四路168號2樓,(02)6602-5671,輪椅進出及通行無障礙 ,121.5588263,25.08429533
106,漉海鮮蒸氣鍋(松江店),臺北市中山區松江路76號1樓,(02)2523-9963,輪椅進出及通行無障礙,121.5327308,25.04968402
107,金色三麥美麗華店,臺北市中山區敬業三路20號5樓,(02)2175-3739,輪椅進出及通行無障礙 ,121.5571179,25.0831408
108,和逸飯店 台北忠孝館,臺北市中正區忠孝東路一段31號,(02)7725-3399,輪椅進出及通行無障礙,121.5253321,25.0445485
109,石尚自然探索屋 - HIPPO SHOP,臺北市文山區新光路二段30號,(02)2936-1725,輪椅進出及通行無障礙,121.5818022,24.9988182
110,Fresh To Go 新鮮購,臺北市北投區石牌路二段201號,(02)2705-8082,輪椅進出及通行無障礙 ,121.5202749,25.1199002
111,義美見學餐廳,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙,121.5198028,25.12010602
112,摩斯漢堡,臺北市北投區石牌路二段201號,(02)2871-0185,輪椅進出及通行無障礙 ,121.5198082,25.12014913
113,洪祖師擔仔麵,臺北市北投區石牌路二段201號,(02)2871-2121,輪椅進出及通行無障礙,121.519827,25.12018647
114,皇家傳承牛肉麵,臺北市北投區石牌路二段201號,(02)2828-2806,輪椅進出及通行無障礙 ,121.5198015,25.12023534
115,明德素食園,臺北市北投區石牌路二段201號,(02)2873-9465,輪椅進出及通行無障礙,121.520181,25.11984678
116,全家便利商店,臺北市北投區石牌路二段201號,(02)7746-4138,輪椅進出及通行無障礙 ,121.5202923,25.11990385
117,健康生活館,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙,121.5202038,25.11982371
118,義美商店,臺北市北投區石牌路二段201號,(02)2874-8849,輪椅進出及通行無障礙 ,121.5195775,25.11992631
119,角子虎,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙,121.5200704,25.12030638
120,十勝石燒,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙 ,121.5201884,25.11983858
121,COMEBUY,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙,121.5201525,25.12000008
122,紅豆食府,臺北市北投區石牌路二段201號,(02)2871-3068,輪椅進出及通行無障礙 ,121.5197975,25.12005684
123,杏一藥局,臺北市北投區石牌路二段201號,(02)2875-1289,輪椅進出及通行無障礙,121.5201284,25.11984769
124,小南門,臺北市北投區石牌路二段201號,(02)2876-6580,輪椅進出及通行無障礙 ,121.5196982,25.12014427
125,星巴克,臺北市北投區石牌路二段201號,(02)2874-6213,輪椅進出及通行無障礙,121.5194857,25.12006777
126,米哥烘培坊,臺北市北投區石牌路二段201號,(02)2898-2258,輪椅進出及通行無障礙 ,121.5203822,25.1192105
127,金色三麥 信義誠品店,臺北市信義區松高路11號B1,(02)8789-5911,輪椅進出及通行無障礙,121.5651336,25.03959333
128,金色三麥南港店,臺北市南港區忠孝東路七段299號C棟1樓,(02)2782-7000,輪椅進出及通行無障礙 ,121.6037326,25.0522566
129,義美吉盛生活廣場,臺北市北投區石牌路二段201號,(02)2871-1688,輪椅進出及通行無障礙,121.5203822,25.1192105
130,晶宴會館民生館,臺北市中山區民生東路三段8號1樓,(02)2517-9977,輪椅進出及通行無障礙 ,121.5383494,25.0575468
131,湖安川菜館,臺北市內湖區環山路一段7號1-2樓,(02)2798-7703,輪椅進出及通行無障礙,121.5656285,25.0829118
132,遠東SOGO百貨-天母店,臺北市士林區中山北路六段77號,02-2776-5555,輪椅進出及通行無障礙 ,121.5245359,25.1047446
133,小角落旅店咖啡,臺北市大同區民族西路33號,02-2599-1699,輪椅進出及通行無障礙 ,121.5194941,25.0686787
134,春天酒店 Spring City Resort,臺北市北投區幽雅路18號,02-2897-2345,輪椅進出及通行無障礙,121.5135554,25.1375847
135,petit doux．微兜 Caf? Bistro京站店,臺北市大同區承德路一段1號1F,02-7716-6666,輪椅進出及通行無障礙 ,121.5171935,25.049308
136,真心台菜 復興店,臺北市松山區 復興南路一段39號GF (微風廣場),02-6600-1280,輪椅進出及通行無障礙 ,121.5452075,25.0459386
137,清真肆集,臺北市大同區迪化街一段347號,02-2557-7862,輪椅進出及通行無障礙,121.5093274,25.0629502
138,DOORS Coffee門片咖啡,臺北市士林區天玉街38巷7號,02-2876-0088,輪椅進出及通行無障礙 ,121.529062,25.1206623
139,囍閱文旅,臺北市萬華區長沙街二段11號10樓,02-2388-6235,輪椅進出及通行無障礙 ,121.506922,25.0407719
140,CURA PIZZA,臺北市萬華區東園街68-9號,02-2339-5877,輪椅進出及通行無障礙,121.496606,25.0254606
141,小王煮瓜,臺北市萬華區華西街17之4號,02-2370-7118,輪椅進出及通行無障礙 ,121.4983685,25.0370345
142,北海道魷魚羹,臺北市中山區遼寧街54號1樓,0918-716-192,輪椅進出及通行無障礙,121.5421174,25.0502707
143,泉都溫泉會館,臺北市北投區光明路220號,02-2896-0077,輪椅進出及通行無障礙,121.5045921,25.1362269
144,瑞格華有限公司 瑞格華·大海刀品,臺北市萬華區西寧南路101號,02-2312-0816,輪椅進出及通行無障礙 ,121.506839,25.045079
145,美好提案 The Beauty Concept,臺北市大同區迪化街1段14巷36號,0978-586-886,輪椅進出及通行無障礙 ,121.5098442,25.0541673
146,阿諾可麗餅,臺北市大安區師大路39巷1號,02-2369-5151,輪椅進出及通行無障礙,121.528813,25.0248449
147,銅樂時尚鍋物 BRASS JOY POT,臺北市大安區師大路39巷1號,02-2368-0687,輪椅進出及通行無障礙 ,121.528813,25.0248449
148,Rainbow彩虹全球3C - 師大店,臺北市大安區龍泉街23號,02-2369-0003,輪椅進出及通行無障礙,121.5295685,25.0245199
149,闊佬 shabu shabu,臺北市中山區樂群二路198號,02-8502-5857,輪椅進出及通行無障礙,121.558834,25.079653
150,世民酒店台北北門,臺北市中正區中華路一段3號,02-7741-4283,輪椅進出及通行無障礙 ,121.5105063,25.0471806
151,菜豚屋(八德店),臺北市松山區八德路二段410巷16弄8號,02-2778-8055,輪椅進出及通行無障礙 ,121.546156,25.0472369
152,凱達大飯店,臺北市萬華區艋舺大道167號,02-2306-6777,輪椅進出及通行無障礙,121.4996955,25.0332225
153,沃田旅店,臺北市士林區中山北路七段127號,02-2875-1823,輪椅進出及通行無障礙 ,121.5318547,25.1229002
154,町‧記憶旅店3館,臺北市萬華區昆明街142號2樓,02-2370-9930,輪椅進出及通行無障礙,121.5046471,25.0426126
155,紅記珠寶有限公司,臺北市中山區林森北路109號1樓,02-2523-0122,輪椅進出及通行無障礙 ,121.5251449,25.0504072
156,THE garden 花園小酒館,臺北市萬華區成都路10巷31、33號1樓,02-2311-0587,輪椅進出及通行無障礙,121.506739,25.041696
157,元味串燒,臺北市萬華區西昌街111號1樓前棟,02-2311-1301,輪椅進出及通行無障礙 ,121.5008147,25.0406203
158,有多聞稻程香料館,臺北市大同區西寧北路104號1樓,02-2556-6048,輪椅進出及通行無障礙,121.508836,25.0558143
159,烏覓馬 GarlicSmart,臺北市大同區迪化街一段222號,02-2553-8947,輪椅進出及通行無障礙 ,121.509361,25.059428
160,川業肉圓( 原萬華新竹肉圓),臺北市萬華區廣州街165號,02-2308-1641,輪椅進出及通行無障礙 ,121.5012987,25.0367228
161,林三益筆墨專家,臺北市大同區重慶北路二段58號,02-2556-6433 #24,輪椅進出及通行無障礙,121.513815,25.055748
162,立川黃金鍋 衡陽店,臺北市中正區衡陽路88、90號,02-2331-1311,輪椅進出及通行無障礙 ,121.510829,25.042137
163,香茅廚泰式餐廳 (南山店),臺北市信義區松智路17號4樓(微風南山 星空塔棟),02-6636-1008,輪椅進出及通行無障礙,121.5660692,25.0344317
164,香茅廚泰式餐廳 (復興店),臺北市松山區復興南路一段39號G樓,02-6600-3210,輪椅進出及通行無障礙 ,121.5446245,25.0460665
165,真心台菜 (南山店),臺北市信義區松智路17號4樓(微風南山 星空塔棟),02-6636-1208,輪椅進出及通行無障礙,121.5660692,25.0344317
166,繭裹子,臺北市大同區迪化街一段213號,02-2557-6780,輪椅進出及通行無障礙,121.5095012,25.0596572
167,南昌行,臺北市大同區南京西路167巷3-4號1樓,02-2558-4095,輪椅進出及通行無障礙,121.5127886,25.0546563
168,丹迪旅店大安森林公園店,臺北市大安區信義路三段33號,02-2707-6899,輪椅進出及通行無障礙,121.5346184,25.03379766
169,瘋殼子通訊信義安和店,臺北市大安區信義路四段212之1號B1,0908-612-368,輪椅進出及通行無障礙 ,121.551826,25.0330589
170,阿甘按摩小棧(雙連店),臺北市大同區民生西路47號B1中山地下街B57號店鋪,02-2571-0005,輪椅進出及通行無障礙,121.5201048,25.0502629
171,晶宴會館民權館,臺北市中山區民權東路三段2號,02-8773-4567,輪椅進出及通行無障礙,121.5378624,25.0620999
172,臺北地下街軟體世界二店,臺北市中正區市民大道一段100號B1電子三區 店號 076,02-2556-7531,輪椅進出及通行無障礙,121.515045,25.048704
173,梅鄉小舖-臺北門市,臺北市中正區市民大道一段100號臺北地下街42號店舖,02-2940-6969,輪椅進出及通行無障礙 ,121.5131061,25.0496404
174,柳隅茶舍,臺北市萬華區西園路一段145號B1-10,02-2308-9743,輪椅進出及通行無障礙,121.5002368,25.0360922
175,帕帕拉夏藝文中心,臺北市大安區金華街243巷21號,02-2358-2916,輪椅進出及通行無障礙 ,121.53028,25.0309339
176,怡品商旅,臺北市大安區忠孝東路四段87號14樓,02-2776-6136,輪椅進出及通行無障礙,121.547631,25.04185
177,新東陽信義店,臺北市大安區信義路二段180號,02-2396-3933,輪椅進出及通行無障礙 ,121.5297184,25.03347625
178,新東陽崇光復興專櫃,臺北市大安區忠孝東路三段300號B2,02-8772-4552,輪椅進出及通行無障礙,121.5432417,25.0408932
179,新東陽三越信義專櫃,臺北市信義區松壽路11號B2(新光三越A11館),02-2722-7526,輪椅進出及通行無障礙,121.567257,25.036608
180,藤香厚工豆花,臺北市信義區吳興街113號,02-2345-3222,輪椅進出及通行無障礙 ,121.5612247,25.03014395
181,詩篇咖啡餐廳,臺北市中正區中山南路20號B1(國家圖書館B1餐廳),02-2382-2666,輪椅進出及通行無障礙 ,121.5167311,25.0369722
182,一兆鑫事業有限公司中正分會,臺北市中正區市民大道一段100號(臺北地下街97號),02-2550-3535,輪椅進出及通行無障礙,121.5136386,25.0495017
183,大來小館-金華店,臺北市大安區金華街140-1號,02-2395-7889,輪椅進出及通行無障礙 ,121.528431,25.029814
184,慕軒飯店,臺北市大安區敦化南路一段331號,(02)7726-6699,輪椅進出及通行無障礙 ,121.5492679,25.03394096
185,慕軒飯店 URBAN331 威士忌酒吧,臺北市大安區敦化南路一段331號1樓,(02)7726-9090,輪椅進出及通行無障礙,121.5492847,25.03406368
186,慕軒 GUSTOSO 義大利料理,臺北市大安區敦化南路一段331號2樓,(02)7726-9099,輪椅進出及通行無障礙 ,121.5492934,25.03387534
187,N 168 PRIME(敦化館),臺北市大安區敦化南路一段246號7樓(SOGO敦化館7F),(02)6617-6168,輪椅進出及通行無障礙,121.548354,25.0404677
188,黑橋牌-微風台北車站專櫃,臺北市中正區北平西路3號B1(微風廣場臺北車站B1西區),(02)2388-3815,輪椅進出及通行無障礙 ,121.5173761,25.04770005
189,Cozzi Cafe 敦南店,臺北市大安區敦化南路二段218號號1樓,(02)2725-5966,輪椅進出及通行無障礙 ,121.548265,25.021726
190,達人麵館,臺北市內湖區環山路一段九巷7號,02-2798-9901,輪椅進出及通行無障礙,121.5659902,25.0829243
191,老大生香燭金紙春聯紅包燈籠,臺北市大安區愛國東路7號南門中繼市場A02號攤,02-2341-7450,輪椅進出及通行無障礙 ,121.5227355,25.0324394
192,爵林堅果坊,臺北市大同區迪化街一段89號,02-2883-2958,輪椅進出及通行無障礙,121.5099794,25.0564625
193,潮味決湯滷專門店-台北東湖分社,臺北市內湖區東湖路43巷5號,02-2634-9666,輪椅進出及通行無障礙,121.6139984,25.0692147
194,公克咖啡 gram coffee,臺北市中正區延平南路157巷5號1樓(面對廣州街8巷),0915-724-763,輪椅進出及通行無障礙,121.5081103,25.0353297
195,小剪日常,臺北市大安區信義路三段150-2號一樓,02-27010329,輪椅進出及通行無障礙,121.5407185,25.0331577
196,harbor market,臺北市南港區重陽路504巷1弄2號,02-27859230,輪椅進出及通行無障礙,121.6125034,25.0604493
197,Hotel PAPA WHALE,臺北市萬華區昆明街46號,02-23311177,輪椅進出及通行無障礙,121.505607,25.0463964
198,一書漫閱讀資訊館,臺北市大安區羅斯福路2段75號2樓,02-29291088,輪椅進出及通行無障礙,121.5231134,25.0265762
199,國立故宮博物院,臺北市士林區至善路2段221號,02-6610-3600,輪椅進出及通行無障礙,121.5484951,25.10235599
200,臺北市立兒童新樂園,臺北市士林區承德路5段55號,02-2833-3823#502,輪椅進出及通行無障礙,121.5149429,25.09723822
201,臺北市立天文科學教育館,臺北市士林區基河路363號,02-28314551#551,輪椅進出及通行無障礙,121.5183001,25.09582981
202,臺北當代藝術館,臺北市大同區長安西路39號,02-2552-3721,輪椅進出及通行無障礙,121.5189745,25.0507246
203,臺北市青少年發展處,臺北市中正區仁愛路一段17號,02-235-14078,輪椅進出及通行無障礙,121.5222552,25.0389819
204,臺北國際藝術村,臺北市中正區北平東路7號,02-3393-7377#108,輪椅進出及通行無障礙,121.5223869,25.04702511
205,臺北國際藝術村─寶藏巖,臺北市中正區汀州路三段230巷寶藏巖歷史聚落,02-23645313,輪椅進出及通行無障礙,121.5332274,25.0105641
206,國立臺灣博物館南門館,臺北市中正區南昌路一段1號,02-2397-3666,輪椅進出及通行無障礙,121.5159631,25.03320722
207,國立臺灣藝術教育館,臺北市中正區南海路47號,02-23110574#174,輪椅進出及通行無障礙,121.5120662,25.03237257
208,國立臺灣博物館古生物館,臺北市中正區襄陽路25號,02-2314-2699,輪椅進出及通行無障礙,121.5143649,25.0435651
209,國立臺灣博物館,臺北市中正區襄陽路2號（二二八公園內）,02-2382-2566,輪椅進出及通行無障礙,121.5150394,25.042754
210,臺北市中山堂管理所,臺北市延平南路98號,02-23813137#102,輪椅進出及通行無障礙,121.5103541,25.0425041
